name,tfName,up5kbNum,down1kbNum,tssPos,geneSymbol
NM_006090,AP-2alpha,1,1,111682832,CEPT1
NM_001127361,AP-2alpha,1,1,33430286,RNF19B
NM_153341,AP-2alpha,1,1,33430286,RNF19B
NM_006053,AP-2alpha,0,1,67810446,TCIRG1
NM_004427,AP-2alpha,1,0,33815499,PHC2
NM_020340,AP-2alpha,1,1,138483052,KIAA1244
NM_020337,AP-2alpha,1,0,125633887,ANKRD50
NM_014686,AP-2alpha,1,1,34745455,KIAA0355
NM_024059,AP-2alpha,1,1,62184372,C20orf195
NM_001080547,AP-2alpha,0,1,47400127,SPI1
NM_006779,AP-2alpha,2,1,65082330,CDC42EP2
NM_005815,AP-2alpha,1,1,12551926,ZNF443
NM_005814,AP-2alpha,1,0,167059868,GPA33
NM_172037,AP-2alpha,1,1,74207264,RDH10
NM_172027,AP-2alpha,1,1,127391780,ABTB1
NM_172016,AP-2alpha,1,1,30295007,TRIM39
NM_032525,AP-2alpha,0,1,12308256,TUBB6
NM_032523,AP-2alpha,1,1,179059207,OSBPL6
NM_181843,AP-2alpha,1,1,67397401,NUDT8
NM_181842,AP-2alpha,1,0,31869769,ZBTB12
NM_014739,AP-2alpha,1,1,136610989,BCLAF1
NM_014740,AP-2alpha,1,1,78120982,EIF4A3
NM_001184722,AP-2alpha,1,0,34855644,GPI
NM_032526,AP-2alpha,1,0,40137710,NT5C1A
NM_005829,AP-2alpha,0,1,90437617,AP3S2
NM_001173977,AP-2alpha,1,1,25279655,LRRC16A
NM_014634,AP-2alpha,1,1,22307250,PPM1F
NM_014633,AP-2alpha,1,1,10772810,CTR9
NM_001199898,AP-2alpha,0,1,48172100,PDK2
NM_006079,AP-2alpha,1,1,139695785,CITED2
NM_005979,AP-2alpha,0,1,153600715,S100A13
NM_005980,AP-2alpha,2,1,6695565,S100P
NM_005978,AP-2alpha,1,0,153538306,S100A2
NM_001111046,AP-2alpha,1,0,37005966,CCNA1
NM_001111047,AP-2alpha,1,0,37005966,CCNA1
NM_020183,AP-2alpha,1,1,27485987,ARNTL2
NM_001172220,AP-2alpha,1,1,41707815,SCMH1
NM_001172219,AP-2alpha,1,1,41707815,SCMH1
NM_001172218,AP-2alpha,1,1,41707815,SCMH1
NM_006504,AP-2alpha,1,1,129705324,PTPRE
NM_002194,AP-2alpha,1,1,191208195,INPP1
NM_001123395,AP-2alpha,1,0,43205925,CLDN19
NM_148960,AP-2alpha,1,0,43205925,CLDN19
NM_001127716,AP-2alpha,1,0,76603810,ETFA
NM_001199125,AP-2alpha,1,1,17184012,COPS3
NM_006154,AP-2alpha,1,0,56285835,NEDD4
NM_001042473,AP-2alpha,1,1,27531068,ACBD5
NM_001161656,AP-2alpha,1,1,135502452,MYB
NM_016206,AP-2alpha,1,1,87040257,VGLL3
NM_015470,AP-2alpha,1,1,73340146,RAB11FIP5
NM_001077197,AP-2alpha,1,0,178973066,PDE11A
NM_024066,AP-2alpha,1,0,44820939,ERI3
NM_001166700,AP-2alpha,1,1,55187628,FAM104B
NM_001135694,AP-2alpha,1,1,42249345,VDAC3
NM_020883,AP-2alpha,1,1,45672250,ZSWIM5
NM_000947,AP-2alpha,1,1,57182421,PRIM2
NM_134265,AP-2alpha,1,1,25621105,WSB1
NM_134263,AP-2alpha,1,1,48672926,SLC26A6
NM_003244,AP-2alpha,1,0,3450171,TGIF1
NM_003243,AP-2alpha,0,1,92351836,TGFBR3
NM_003242,AP-2alpha,1,1,30647993,TGFBR2
NM_003675,AP-2alpha,1,1,13628938,PRPF18
NM_003672,AP-2alpha,1,1,100818022,CDC14A
NM_006369,AP-2alpha,1,1,46769038,LRRC41
NM_147188,AP-2alpha,1,1,76196199,FBXO22
NM_147187,AP-2alpha,1,1,22926700,TNFRSF10B
NM_147185,AP-2alpha,1,1,91570188,AKAP9
NM_001199758,AP-2alpha,2,1,80189627,MTHFS
NM_014622,AP-2alpha,1,1,123986110,VWA5A
NM_001127214,AP-2alpha,1,1,89160253,ACSF3
NM_144708,AP-2alpha,1,0,190540710,ANKAR
NM_000883,AP-2alpha,1,1,128050036,IMPDH1
NM_014015,AP-2alpha,0,1,11036257,DEXI
NM_001190801,AP-2alpha,1,1,128802398,PLK4
NM_014674,AP-2alpha,1,1,5229358,EDEM1
NM_001193455,AP-2alpha,1,1,6633473,NSUN2
NM_024787,AP-2alpha,1,1,33424643,RNF122
NM_000436,AP-2alpha,1,1,41870791,OXCT1
NM_015046,AP-2alpha,1,1,135230372,SETX
NM_001139444,AP-2alpha,1,1,116866773,BET3L
NM_015324,AP-2alpha,1,0,6624811,RRP8
NM_152360,AP-2alpha,1,1,38270230,ZNF573
NM_152353,AP-2alpha,0,1,51872257,CLDND2
NM_152348,AP-2alpha,1,0,1619816,WDR81
NM_152344,AP-2alpha,2,0,42144987,LSM12
NM_014762,AP-2alpha,1,1,55352921,DHCR24
NM_000210,AP-2alpha,1,1,173292313,ITGA6
NM_004093,AP-2alpha,1,0,107187388,EFNB2
NM_004102,AP-2alpha,1,1,31845923,FABP3
NM_001172713,AP-2alpha,1,1,37284681,GOLGA4
NM_001145304,AP-2alpha,1,0,18385319,KIAA1683
NM_003517,AP-2alpha,1,1,149858524,HIST2H2AC
NM_003494,AP-2alpha,1,0,71680752,DYSF
NM_013272,AP-2alpha,1,1,92396937,SLCO3A1
NM_002350,AP-2alpha,1,1,56792385,LYN
NM_019034,AP-2alpha,3,1,122231594,RHOF
NM_006795,AP-2alpha,1,2,64646191,EHD1
NM_003720,AP-2alpha,1,1,40555440,PSMG1
NM_002896,AP-2alpha,1,1,66406087,RBM4
NM_001105249,AP-2alpha,2,1,19422056,TMC5
NM_007342,AP-2alpha,1,1,23221445,NUPL2
NM_032797,AP-2alpha,1,1,71892690,AIFM2
NM_018555,AP-2alpha,1,1,54024176,ZNF331
NM_001154,AP-2alpha,1,1,122618147,ANXA5
NM_001010971,AP-2alpha,0,1,84764048,SAMD13
NM_001127692,AP-2alpha,1,1,100741268,PCCA
NM_001166692,AP-2alpha,1,0,33722286,C11orf91
NM_001166702,AP-2alpha,1,1,55187628,FAM104B
NM_001379,AP-2alpha,1,1,10305755,DNMT1
NM_012446,AP-2alpha,1,0,81047072,SSBP2
NM_001190266,AP-2alpha,2,1,234160216,ATG16L1
NM_001064,AP-2alpha,1,1,53290130,TKT
NM_001128852,AP-2alpha,1,1,100472700,SRRT
NM_000963,AP-2alpha,1,1,186649559,PTGS2
NM_001206653,AP-2alpha,1,1,87170252,SH3GLB1
NM_152783,AP-2alpha,1,1,242674029,D2HGDH
NM_152778,AP-2alpha,0,1,128887139,MFSD8
NM_000499,AP-2alpha,1,0,75017877,CYP1A1
NM_181873,AP-2alpha,1,0,149908266,MTMR11
NM_013246,AP-2alpha,2,0,67141206,CLCF1
NM_015426,AP-2alpha,0,1,52188706,POC1A
NM_001164821,AP-2alpha,1,1,172290760,DCAF17
NM_015976,AP-2alpha,0,1,99127235,SNX7
NM_001166498,AP-2alpha,1,1,84256306,HPSE
NM_001042492,AP-2alpha,1,1,29421944,NF1
NM_001136180,AP-2alpha,1,1,77724581,HSBP1L1
NM_001136204,AP-2alpha,1,1,17765057,RCC2
NM_001136205,AP-2alpha,1,1,24129399,KCTD1
NM_012243,AP-2alpha,1,1,100435539,SLC35A3
NM_033055,AP-2alpha,1,1,100503788,HIAT1
NM_014957,AP-2alpha,2,1,142138719,DENND3
NM_016834,AP-2alpha,1,1,43971747,MAPT
NM_016831,AP-2alpha,1,0,7844762,PER3
NM_001128920,AP-2alpha,1,1,103851700,MARK3
NM_001128918,AP-2alpha,1,1,103851700,MARK3
NM_052854,AP-2alpha,1,0,46299227,CREB3L1
NM_001190965,AP-2alpha,0,1,20532973,ZMYM2
NM_001190996,AP-2alpha,1,1,98923495,ARPC1A
NM_001190981,AP-2alpha,1,1,55290821,IL6ST
NM_001201334,AP-2alpha,1,1,75937732,C2orf3
NM_001201329,AP-2alpha,1,1,9009152,PPP1R3B
NM_001201326,AP-2alpha,0,1,145727665,PDZK1
NM_001201325,AP-2alpha,0,1,145727665,PDZK1
NM_001100425,AP-2alpha,1,1,36429734,KIAA0895
NM_002149,AP-2alpha,1,1,10443039,HPCAL1
NM_198129,AP-2alpha,1,1,21269561,LAMA3
NM_001010883,AP-2alpha,1,1,109102970,FAM102B
NM_001153552,AP-2alpha,0,1,141294663,SCOC
NM_001153484,AP-2alpha,0,1,141294663,SCOC
NM_018061,AP-2alpha,1,1,109234931,PRPF38B
NM_002335,AP-2alpha,1,1,68080107,LRP5
NM_004492,AP-2alpha,1,1,59949737,GTF2A2
NM_018262,AP-2alpha,1,1,129158967,IFT122
NM_153051,AP-2alpha,0,1,30279157,MTMR3
NM_016442,AP-2alpha,0,1,96143892,ERAP1
NM_030954,AP-2alpha,2,1,42751866,RNF170
NM_030953,AP-2alpha,1,1,149380217,TIGD6
NM_001099271,AP-2alpha,1,1,75013313,POC5
NM_001130081,AP-2alpha,1,1,171528273,PLD1
NM_001145774,AP-2alpha,1,0,57673206,GPR56
NM_006372,AP-2alpha,1,1,86353043,SYNCRIP
NM_032848,AP-2alpha,1,1,113623554,C12orf52
NM_201443,AP-2alpha,2,1,3068747,TEAD4
NM_201441,AP-2alpha,1,1,3068477,TEAD4
NM_002697,AP-2alpha,0,1,167190065,POU2F1
NM_017941,AP-2alpha,1,1,71228775,C17orf80
NM_018040,AP-2alpha,1,1,217804409,GPATCH2
NM_003004,AP-2alpha,1,1,80291921,SECTM1
NM_001042384,AP-2alpha,1,1,134204574,CEP63
NM_006163,AP-2alpha,2,0,54689544,NFE2
NM_178858,AP-2alpha,1,1,104474297,SFXN2
NM_000786,AP-2alpha,1,1,91763840,CYP51A1
NM_006892,AP-2alpha,1,1,31350190,DNMT3B
NM_006901,AP-2alpha,1,1,72410422,MYO9A
NM_001172411,AP-2alpha,1,2,116184573,VANGL1
NM_018184,AP-2alpha,1,1,5163929,ARL8B
NM_018420,AP-2alpha,0,1,116519118,SLC22A15
NM_138764,AP-2alpha,1,1,49458116,BAX
NM_001136473,AP-2alpha,1,1,11680806,LITAF
NM_001161560,AP-2alpha,0,1,171178197,TNIK
NM_001161561,AP-2alpha,0,1,171178197,TNIK
NM_001143999,AP-2alpha,1,0,75137004,SEC14L1
NM_004650,AP-2alpha,1,1,7895475,PNPLA4
NM_001122957,AP-2alpha,1,0,31119661,BCKDK
NM_000528,AP-2alpha,1,1,12777591,MAN2B1
NM_001166295,AP-2alpha,1,1,85156151,SSX2IP
NM_006460,AP-2alpha,0,1,43224683,HEXIM1
NM_006457,AP-2alpha,1,1,95373037,PDLIM5
NM_006456,AP-2alpha,1,1,74582145,ST6GALNAC2
NM_006452,AP-2alpha,1,1,57301914,PAICS
NM_006451,AP-2alpha,1,1,43557195,PAIP1
NM_001077440,AP-2alpha,1,1,136610989,BCLAF1
NM_001077427,AP-2alpha,1,1,133429070,LYPD1
NM_001131019,AP-2alpha,1,0,42992914,GFAP
NM_203458,AP-2alpha,1,1,145209110,NOTCH2NL
NM_198152,AP-2alpha,1,1,191048325,UTS2D
NM_001173467,AP-2alpha,1,0,53730004,SP7
NM_145273,AP-2alpha,1,0,41924515,CD300LG
NM_001143766,AP-2alpha,1,1,31320866,ZNF438
NM_001193369,AP-2alpha,0,1,61557903,DIDO1
NM_145283,AP-2alpha,2,0,91150015,NXNL2
NM_145280,AP-2alpha,1,1,208489696,METTL21A
NM_033081,AP-2alpha,1,1,61569304,DIDO1
NM_007309,AP-2alpha,1,1,95939661,DIAPH2
NM_019050,AP-2alpha,1,1,120133781,USP53
NM_019048,AP-2alpha,1,1,190526124,ASNSD1
NM_018948,AP-2alpha,1,1,8086393,ERRFI1
NM_019046,AP-2alpha,1,0,5931860,ANKRD16
NM_018945,AP-2alpha,1,1,136172833,PDE7B
NM_001204137,AP-2alpha,1,0,47808144,MBD1
NM_001202404,AP-2alpha,1,1,125931082,ALDH7A1
NM_001201584,AP-2alpha,1,1,42623520,SEC22C
NM_080668,AP-2alpha,1,1,64851615,CDCA5
NM_004154,AP-2alpha,1,1,72983246,P2RY6
NM_017860,AP-2alpha,1,1,151020258,C1orf56
NM_018697,AP-2alpha,0,1,55433140,LANCL2
NM_001178061,AP-2alpha,1,1,151119140,SEMA6C
NM_001178062,AP-2alpha,1,1,151119140,SEMA6C
NM_207419,AP-2alpha,0,1,1146244,C1QTNF8
NM_001130912,AP-2alpha,1,1,53226830,SUGT1
NM_001146259,AP-2alpha,1,1,57984941,PIP4K2C
NM_001146258,AP-2alpha,1,1,57984941,PIP4K2C
NM_001201377,AP-2alpha,1,1,125931082,ALDH7A1
NM_207171,AP-2alpha,1,0,151414681,POGZ
NM_004854,AP-2alpha,1,1,101034130,CHST10
NM_001172644,AP-2alpha,1,0,66584315,TK2
NM_012121,AP-2alpha,1,2,71308143,CDC42EP4
NM_012120,AP-2alpha,0,1,47445524,CD2AP
NM_002953,AP-2alpha,0,1,26856248,RPS6KA1
NM_001919,AP-2alpha,1,1,2301602,ECI1
NM_015627,AP-2alpha,1,0,25870075,LDLRAP1
NM_015626,AP-2alpha,1,1,25621105,WSB1
NM_001229,AP-2alpha,1,1,15850940,CASP9
NM_134445,AP-2alpha,1,1,150067289,CD99L2
NM_173555,AP-2alpha,1,1,71906496,TYSND1
NM_173552,AP-2alpha,1,1,143690639,C3orf58
NM_001083965,AP-2alpha,1,1,151763010,TDRKH
NM_002617,AP-2alpha,1,0,2344010,PEX10
NM_018047,AP-2alpha,1,1,150080669,RBM22
NM_138728,AP-2alpha,1,1,113162040,ST7L
NM_017582,AP-2alpha,1,0,154531120,UBE2Q1
NM_014983,AP-2alpha,1,1,149380168,HMGXB3
NM_001130103,AP-2alpha,1,1,71561643,COL13A1
NM_173500,AP-2alpha,0,1,43213007,TTBK2
NM_173508,AP-2alpha,1,1,234040678,SLC35F3
NM_001122837,AP-2alpha,1,0,155108287,SLC50A1
NM_001122839,AP-2alpha,1,0,155108287,SLC50A1
NM_018845,AP-2alpha,1,0,155108287,SLC50A1
NM_032750,AP-2alpha,1,1,52008646,ABHD14B
NM_001042590,AP-2alpha,1,1,35829512,TMEM8B
NM_001130675,AP-2alpha,1,1,141348815,CLGN
NM_001130691,AP-2alpha,1,1,102268628,PPP3CA
NM_001130692,AP-2alpha,1,1,102268628,PPP3CA
NM_001135000,AP-2alpha,1,0,53417815,FERMT2
NM_001171815,AP-2alpha,1,1,88772800,RNF166
NM_001171814,AP-2alpha,1,1,126107545,OAT
NM_139132,AP-2alpha,1,1,3819022,NUP98
NM_138473,AP-2alpha,0,1,53773978,SP1
NM_138468,AP-2alpha,1,1,203736371,ICA1L
NM_138452,AP-2alpha,1,1,24768666,DHRS1
NM_138450,AP-2alpha,1,0,50202434,ARL11
NM_138447,AP-2alpha,1,1,30621682,ZNF689
NM_001130958,AP-2alpha,0,1,159614373,FABP6
NM_018243,AP-2alpha,0,1,77870894,SEPT11
NM_018248,AP-2alpha,0,1,178230990,NEIL3
NM_001134336,AP-2alpha,1,1,129074273,FAM40B
NM_015201,AP-2alpha,1,0,145515120,BOP1
NM_001037533,AP-2alpha,1,0,155826972,GON4L
NM_032292,AP-2alpha,1,0,155826972,GON4L
NM_020954,AP-2alpha,1,0,78234666,RNF213
NM_004489,AP-2alpha,0,1,7218658,GPS2
NM_001039775,AP-2alpha,1,0,26680621,AIM1L
NM_000270,AP-2alpha,0,1,20937537,PNP
NM_181784,AP-2alpha,1,1,65659656,SPRED2
NM_181783,AP-2alpha,1,1,88536072,TMTC3
NM_181838,AP-2alpha,1,1,138940750,UBE2D2
NM_001517,AP-2alpha,1,1,30875976,GTF2H4
NM_001976,AP-2alpha,1,1,4854383,ENO3
NM_178520,AP-2alpha,1,1,79304474,TMEM105
NM_001039355,AP-2alpha,1,1,100772860,SLC25A29
NM_015325,AP-2alpha,1,1,5422806,KIAA0947
NM_001161706,AP-2alpha,1,1,71650478,FXN
NM_001161708,AP-2alpha,1,1,33168361,SYNC
NM_015323,AP-2alpha,1,1,96969701,KIAA0776
NM_015322,AP-2alpha,1,1,68570140,FEM1B
NM_001143998,AP-2alpha,1,0,75137004,SEC14L1
NM_201444,AP-2alpha,1,0,56325811,DGKA
NM_005391,AP-2alpha,1,1,24483343,PDK3
NM_005401,AP-2alpha,1,1,214725024,PTPN14
NM_001134233,AP-2alpha,1,1,159825137,C1orf204
NM_001172111,AP-2alpha,1,1,72410630,SENP8
NM_005005,AP-2alpha,1,1,125551342,NDUFB9
NM_015112,AP-2alpha,1,1,46269284,MAST2
NM_001206652,AP-2alpha,1,1,87170252,SH3GLB1
NM_014845,AP-2alpha,1,1,110012423,FIG4
NM_014844,AP-2alpha,1,1,102829299,TECPR2
NM_001144823,AP-2alpha,0,1,66084631,DENND4A
NM_001145437,AP-2alpha,1,1,47648738,LSS
NM_001163484,AP-2alpha,1,1,24583905,DCAF11
NM_139030,AP-2alpha,0,1,832951,CD151
NM_001145128,AP-2alpha,1,1,110012415,AKD1
NM_019624,AP-2alpha,0,1,123451056,ABCB9
NM_001206683,AP-2alpha,1,1,54020199,ATF7
NM_001206682,AP-2alpha,1,1,54020199,ATF7
NM_001259,AP-2alpha,1,1,92463231,CDK6
NM_017542,AP-2alpha,0,1,166808723,POGK
NM_053053,AP-2alpha,1,1,166845654,TADA1
NM_001080426,AP-2alpha,0,1,167064086,DUSP27
NM_006551,AP-2alpha,1,1,62009723,SCGB1D2
NM_006549,AP-2alpha,0,1,121736111,CAMKK2
NM_006548,AP-2alpha,1,0,185542827,IGF2BP2
NM_004178,AP-2alpha,1,1,53894704,TARBP2
NM_004177,AP-2alpha,1,1,59522531,STX3
NM_198241,AP-2alpha,0,1,184032282,EIF4G1
NM_001130976,AP-2alpha,1,0,71680752,DYSF
NM_001130977,AP-2alpha,1,0,71680752,DYSF
NM_177524,AP-2alpha,1,1,130126045,MEST
NM_015102,AP-2alpha,1,1,6052533,NPHP4
NM_001160233,AP-2alpha,1,1,116916488,ATP1A1
NM_005972,AP-2alpha,1,0,47083533,PPYR1
NM_001164469,AP-2alpha,1,1,114961876,TMED7-TICAM2
NM_006886,AP-2alpha,1,1,57607400,ATP5E
NM_006885,AP-2alpha,1,1,73082274,ZFHX3
NM_006884,AP-2alpha,1,0,157823952,SHOX2
NM_001144924,AP-2alpha,1,1,20817766,LOC81691
NM_002415,AP-2alpha,1,1,24236564,MIF
NM_001178009,AP-2alpha,0,1,44496472,CBS
NM_014283,AP-2alpha,1,1,172502259,C1orf9
NM_016227,AP-2alpha,1,1,172502316,C1orf9
NM_001731,AP-2alpha,1,1,92539673,BTG1
NM_001730,AP-2alpha,1,0,73633141,KLF5
NM_030653,AP-2alpha,1,1,31226778,DDX11
NM_001903,AP-2alpha,1,1,138089106,CTNNA1
NM_001902,AP-2alpha,1,1,70876900,CTH
NM_005612,AP-2alpha,1,2,57774041,REST
NM_005611,AP-2alpha,0,1,53468350,RBL2
NM_001195193,AP-2alpha,0,1,46049659,NASP
NM_005930,AP-2alpha,1,1,39736327,CTAGE5
NM_000875,AP-2alpha,2,1,99192760,IGF1R
NM_032299,AP-2alpha,1,1,102962944,DCUN1D5
NM_015602,AP-2alpha,1,1,179851419,TOR1AIP1
